,0
432,0.081066415
433,0.10667784
434,0.13486691
435,0.15767565
436,0.16022797
437,0.15637526
438,0.1582989
439,0.16691187
440,0.1705857
441,0.15386543
442,0.13995035
443,0.11459726
444,0.08547998
445,0.07281092
446,0.05664101
447,0.047431964
448,0.042707313
449,0.039071843
450,0.03101904
451,0.039180253
452,0.032583553
453,0.02274815
454,0.01738365
455,0.011044838
456,0.009970114
457,0.004789464
458,0.000746198
459,0.0
460,0.0067016333
461,0.0165333
462,0.027119964
463,0.030447133
464,0.028936714
465,0.030492097
466,0.042502772
467,0.046331413
468,0.04305848
469,0.047049657
470,0.052913792
471,0.062652454
472,0.07554578
473,0.07766771
474,0.08837357
475,0.090115905
476,0.079130836
477,0.07090433
478,0.07912655
479,0.08698869
480,0.079679385
481,0.07073986
482,0.059394494
483,0.068242
484,0.05886024
485,0.037593745
486,0.029673085
487,0.019216277
488,0.0109186545
489,0.003877744
490,0.0
491,0.0
492,0.0022327527
493,0.007270232
494,0.015989684
495,0.009725094
496,0.012683667
497,0.02227731
498,0.017014585
499,0.022319265
500,0.026536979
501,0.03716613
502,0.051748358
503,0.07402777
504,0.08646729
505,0.106485985
506,0.11185645
507,0.099211656
508,0.085450366
509,0.101204686
510,0.099511504
511,0.099325724
512,0.068305105
513,0.06733288
514,0.07779286
515,0.078932405
516,0.09120525
517,0.059649497
518,0.073140085
519,0.050314866
520,0.019762687
521,0.009901084
522,0.01123859
523,0.0
524,0.0
525,0.010747425
526,0.023591496
527,0.03136585
528,0.044961847
529,0.057479598
530,0.07996674
531,0.090383075
532,0.09852322
533,0.103491366
534,0.119479984
535,0.12860979
536,0.12868255
537,0.13419592
538,0.14330861
539,0.13266602
540,0.13611111
541,0.13874435
542,0.13948128
543,0.14682391
544,0.1492927
545,0.1586536
546,0.16166988
547,0.15402865
548,0.14134157
549,0.13323647
550,0.11622185
551,0.101149105
552,0.083449855
553,0.06437347
554,0.03914196
555,0.022317797
556,0.00271409
557,0.0
558,0.0
559,0.0059989616
560,0.018957399
561,0.04047257
562,0.07035237
563,0.11210624
564,0.15730098
565,0.19383141
566,0.23768872
567,0.2819959
568,0.32018998
569,0.3507847
570,0.3730426
571,0.38690805
572,0.41160312
573,0.42321438
574,0.4266983
575,0.4247834
576,0.42105773
577,0.40827173
578,0.3860525
579,0.3518334
580,0.3261733
581,0.29340562
582,0.25435805
583,0.20303923
584,0.15127885
585,0.117815666
586,0.091597624
587,0.05832974
588,0.036973476
589,0.014590144
590,0.0
591,0.0
592,0.0
593,0.018176407
594,0.038443442
595,0.06408349
596,0.091324694
597,0.12444386
598,0.15930414
599,0.19852963
600,0.24688634
601,0.29407796
602,0.33440024
603,0.37068152
604,0.40459538
605,0.4252161
606,0.43665737
607,0.44372347
608,0.4481921
609,0.4452741
610,0.4380371
611,0.42595655
612,0.40643105
613,0.37976784
614,0.34716
615,0.30676645
616,0.2563311
617,0.20350195
618,0.15158257
619,0.118547216
620,0.09261375
621,0.05939478
622,0.035094667
623,0.0138569325
624,0.004055001
625,0.0
626,0.0
627,0.021010526
628,0.042117134
629,0.068795554
630,0.0990426
631,0.13628402
632,0.17353934
633,0.21709388
634,0.26528952
635,0.30929214
636,0.34332457
637,0.37534297
638,0.39985043
639,0.42064375
640,0.43221164
641,0.44419527
642,0.44686365
643,0.44408938
