,0
432,0.019395053
433,0.02201569
434,0.02613622
435,0.023830354
436,0.02425944
437,0.024562873
438,0.023180962
439,0.02797664
440,0.030407563
441,0.031222053
442,0.031068258
443,0.026488036
444,0.020802855
445,0.021783322
446,0.025786929
447,0.022659287
448,0.033772737
449,0.031082027
450,0.02870769
451,0.02594944
452,0.015390076
453,0.015504584
454,0.010948606
455,0.0040361807
456,0.0005471334
457,0.0
458,0.0007394478
459,0.023947768
460,0.0495177
461,0.08053917
462,0.11247119
463,0.1440041
464,0.17075202
465,0.20553303
466,0.23343638
467,0.22902343
468,0.2528501
469,0.25190797
470,0.25721198
471,0.2506513
472,0.2942652
473,0.25720182
474,0.21347544
475,0.21443924
476,0.20593777
477,0.22357905
478,0.21975401
479,0.20532556
480,0.20212938
481,0.16893384
482,0.14848661
483,0.10105683
484,0.07112584
485,0.044175185
486,0.035483055
487,0.014793836
488,0.0051682517
489,0.0
490,0.0
491,0.0071138293
492,0.033203736
493,0.052177165
494,0.07660311
495,0.10288736
496,0.12474315
497,0.16250223
498,0.1950984
499,0.23614705
500,0.27664518
501,0.30985126
502,0.33131316
503,0.35744494
504,0.37463918
505,0.40454486
506,0.40844485
507,0.3953682
508,0.37538463
509,0.35922626
510,0.3090533
511,0.2889349
512,0.24929985
513,0.17549711
514,0.15144429
515,0.13799189
516,0.11001223
517,0.09817884
518,0.069513686
519,0.048988983
520,0.032501765
521,0.010193482
522,0.0
523,0.0
524,0.023501217
525,0.049981847
526,0.07539286
527,0.09767127
528,0.11761518
529,0.13838272
530,0.16156997
531,0.18201283
532,0.21339971
533,0.2381852
534,0.2584906
535,0.27288726
536,0.28297848
537,0.296863
538,0.30105904
539,0.29540244
540,0.2821781
541,0.26401272
542,0.25240818
543,0.24174947
544,0.23238105
545,0.21603502
546,0.19487606
547,0.16743535
548,0.13893542
549,0.111173384
550,0.08413081
551,0.06034748
552,0.041460402
553,0.023228012
554,0.008240685
555,0.0
556,0.0
557,0.019194089
558,0.049017027
559,0.08461025
560,0.11889976
561,0.15629712
562,0.18755643
563,0.22806004
564,0.27085492
565,0.30609518
566,0.34628546
567,0.37926397
568,0.40703902
569,0.4273347
570,0.43618712
571,0.44736502
572,0.4451543
573,0.4408871
574,0.42649463
575,0.4249043
576,0.40064955
577,0.37843582
578,0.34525546
579,0.31241918
580,0.26214287
581,0.22125843
582,0.17325318
583,0.13630356
584,0.09994198
585,0.0515393
586,0.031770356
587,0.014159203
588,0.0034483299
589,0.0
590,0.0
591,0.016820781
592,0.025220782
593,0.036656417
594,0.0488725
595,0.060547195
596,0.069325596
597,0.08294489
598,0.09117657
599,0.09575429
600,0.1064042
601,0.10846381
602,0.10820501
603,0.104905725
604,0.10370695
605,0.09934141
606,0.103037514
607,0.089637294
608,0.08502455
609,0.0778185
610,0.073076755
611,0.07449634
612,0.06550026
613,0.05965092
614,0.05059288
615,0.042968817
616,0.035521746
617,0.026606351
618,0.018549092
619,0.012282379
620,0.0070840493
621,0.0
622,0.0
623,0.010032788
624,0.029451549
625,0.049793012
626,0.068620585
627,0.084615745
628,0.1122773
629,0.14456789
630,0.16581078
631,0.18356302
632,0.20380604
633,0.22897741
634,0.28158975
635,0.27644944
636,0.31862178
637,0.3446542
638,0.36382142
639,0.40029022
640,0.37888536
641,0.3881648
642,0.36856094
643,0.35335267
